                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5038,                 2.9067,                  1.304,                0.00524,                0.74468,                0.65984,                0.33555,                 1.4013,                 3.7207,                 1.2098,                0.00048,                0.00048,                0.00048
                      2,                 1.4922,                 1.9824,                 1.2706,                0.91528,                0.23014,                0.54732,                0.25346,                 1.4888,                 3.7175,                 1.3133,             0.00097353,             0.00097353,             0.00097353
                      3,                 1.4836,                 1.6937,                 1.2907,                0.13568,                0.14894,                0.09935,                0.03775,                 1.7896,                 3.7819,                 1.7748,              0.0014605,              0.0014605,              0.0014605
                      4,                 1.5611,                 1.7295,                 1.3767,                0.09165,                0.17021,                 0.0519,                0.01684,                 1.7893,                 5.7476,                 1.9248,              0.0019408,              0.0019408,              0.0019408
                      5,                 1.5026,                 1.6094,                 1.3173,                0.25827,                0.29787,                 0.1411,                0.07261,                 1.7551,                 3.0057,                 1.5772,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.4573,                 1.4798,                 1.2885,                0.74591,                0.44681,                0.51325,                0.24772,                 1.6747,                 2.6916,                 1.6018,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.4842,                 1.3715,                 1.2842,                0.82103,                0.61702,                0.65848,                0.32506,                 1.6656,                 1.6855,                 1.5266,               0.001934,               0.001934,               0.001934
                      8,                 1.5673,                 1.3546,                 1.3887,                0.73508,                0.76752,                0.73862,                0.34199,                 1.7316,                 1.6973,                 1.6232,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.4974,                 1.2451,                 1.3422,                0.86191,                0.57447,                0.68184,                0.37941,                 1.5975,                 1.3576,                 1.4931,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4528,                 1.1765,                 1.3027,                0.72292,                0.78723,                0.76243,                0.41485,                 1.6361,                 1.3657,                 1.4905,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4391,                 1.1176,                 1.3084,                0.61215,                0.80597,                 0.6603,                0.31958,                 1.8424,                 1.5263,                 1.6706,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4211,                 1.1123,                 1.3024,                0.72319,                0.74468,                0.74784,                0.36918,                 1.7496,                   1.36,                 1.5828,               0.001868,               0.001868,               0.001868
                     13,                 1.4213,                 1.1213,                 1.2651,                 0.8717,                0.72278,                0.77293,                0.38637,                 1.6188,                 1.2612,                 1.5671,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.3718,                 1.0594,                 1.2716,                0.87107,                0.80851,                0.84248,                 0.3657,                 1.6981,                 1.1494,                 1.5105,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.3981,                 1.0083,                 1.2652,                0.84813,                0.78723,                  0.843,                0.45025,                 1.6651,                 1.2668,                 1.5225,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.3735,                  1.013,                 1.2592,                0.87908,                0.80851,                0.83853,                 0.4262,                 1.5862,                 1.2325,                 1.5117,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.3578,                0.97078,                 1.2403,                0.89968,                0.76333,                 0.8487,                0.45794,                 1.4985,                 1.3842,                 1.4207,               0.001802,               0.001802,               0.001802
